ADR-ID;Titel;Baseline-v1.0;Implementierungsstatus;Band;Quellstatus;Kurzbegruendung;Nachweisregel
ADR-0001;Lokaler modularer Monolith;Accepted;Nicht nachgewiesen;Teil 1;Accepted;Ein Prozess und eine SQLite-Datenbank im MVP.;Vertikaler Referenzschnitt und Qualitaetsgates
ADR-0002;Windows Forms als UI-Technologie;Accepted;Nicht nachgewiesen;Teil 1;Accepted;Lokale Windows-Desktopanwendung mit vorhandener SASD-Kompetenz.;Vertikaler Referenzschnitt und Qualitaetsgates
ADR-0003;.NET 10 LTS;Accepted;Nicht nachgewiesen;Teil 1;Accepted;Neuentwicklung auf aktueller LTS-Basis.;Vertikaler Referenzschnitt und Qualitaetsgates
ADR-0004;EF Core mit SQLite;Accepted;Nicht nachgewiesen;Teil 1;Accepted;Lokale Persistenz mit Migrationen und Transaktionen.;Vertikaler Referenzschnitt und Qualitaetsgates
ADR-0005;Vier Produktivprojekte;Accepted;Nicht nachgewiesen;Teil 1;Proposed;WinForms, Application, Domain und Infrastructure.;Vertikaler Referenzschnitt und Qualitaetsgates
ADR-0006;Keine Pluginarchitektur im MVP;Accepted;Nicht nachgewiesen;Teil 1;Accepted;Erweiterungen zunächst intern oder über feste Adapter.;Vertikaler Referenzschnitt und Qualitaetsgates
ADR-0007;Keine gemeinsame Datenbank mit anderen SASD-Produkten;Accepted;Nicht nachgewiesen;Teil 1;Accepted;Integration über Referenzen, Dateien oder spätere APIs.;Vertikaler Referenzschnitt und Qualitaetsgates
ADR-0008;UI-Bindung über DTO-/View-Modelle statt EF-Entitäten;Accepted;Nicht nachgewiesen;Teil 1;Proposed;Kontrollierte Lebenszyklen und Testbarkeit.;Vertikaler Referenzschnitt und Qualitaetsgates
ADR-0009;Loggingprovider;Open;Nicht anwendbar / spaeter;Teil 1;Proposed;Serilog gegen Microsoft-Standardansatz vergleichen.;Serilog gegen Microsoft-Standardansatz vergleichen.
ADR-0010;Installations- und Updateverfahren;Open;Nicht anwendbar / spaeter;Teil 1;Proposed;Deployment-Spike erforderlich.;Deployment-Spike erforderlich.
ADR-0011;Single-Instance-Verhalten;Accepted;Nicht nachgewiesen;Teil 1;Proposed;Datenbankkonkurrenz und UX prüfen.;Vertikaler Referenzschnitt und Qualitaetsgates
ADR-0012;Optimistische Nebenläufigkeitsprüfung;Accepted;Nicht nachgewiesen;Teil 1;Proposed;Schutz vor mehreren Fenstern und externen Änderungen.;Vertikaler Referenzschnitt und Qualitaetsgates
ADR-0013;Architekturtests ohne zusätzliche Bibliothek beginnen;Accepted;Nicht nachgewiesen;Teil 1;Proposed;Reflection/Roslyn vor weiterem Framework.;Vertikaler Referenzschnitt und Qualitaetsgates
ADR-0014;Schlankes Presenter-/Controller-Muster;Accepted;Nicht nachgewiesen;Teil 2;Proposed;Kein vollständiges MVVM-Framework.;Vertikaler Referenzschnitt und Qualitaetsgates
ADR-0015;Domänenobjekte frei von EF-Core-, WinForms- und Logging-Typen;Accepted;Nicht nachgewiesen;Teil 2;Accepted;Technikfreie Domäne.;Vertikaler Referenzschnitt und Qualitaetsgates
ADR-0016;SQLite als alleinige produktive MVP-Persistenz;Accepted;Nicht nachgewiesen;Teil 2;Accepted;Keine Serverdatenbank im MVP.;Vertikaler Referenzschnitt und Qualitaetsgates
ADR-0017;Migration nur nach Integritätsprüfung und Vorab-Sicherung;Accepted;Nicht nachgewiesen;Teil 2;Proposed;Kontrollierter Upgradepfad.;Vertikaler Referenzschnitt und Qualitaetsgates
ADR-0018;Import als Vorschau-, Validierungs- und Transaktionsprozess;Accepted;Nicht nachgewiesen;Teil 2;Proposed;Keine stille Teilübernahme.;Vertikaler Referenzschnitt und Qualitaetsgates
ADR-0019;Backup mit Datenbankkopie, Manifest und SHA-256;Accepted;Nicht nachgewiesen;Teil 2;Proposed;Prüfbare Sicherungen.;Vertikaler Referenzschnitt und Qualitaetsgates
ADR-0020;Strukturiertes lokales und datensparsames Logging;Accepted;Nicht nachgewiesen;Teil 2;Proposed;Diagnose ohne Inhaltsprotokollierung.;Vertikaler Referenzschnitt und Qualitaetsgates
ADR-0021;CancellationToken für längere Vorgänge;Accepted;Nicht nachgewiesen;Teil 2;Proposed;UI-Thread nicht blockieren.;Vertikaler Referenzschnitt und Qualitaetsgates
ADR-0022;Ein Composition Root in Program.Main;Accepted;Nicht nachgewiesen;Teil 3;Proposed;Zentrale Verdrahtung.;Vertikaler Referenzschnitt und Qualitaetsgates
ADR-0023;Kurzlebiger DbContext pro Use Case;Accepted;Nicht nachgewiesen;Teil 3;Proposed;Begrenzte Unit-of-Work-Lebensdauer.;Vertikaler Referenzschnitt und Qualitaetsgates
ADR-0024;Typisiertes Resultmodell für erwartete Fehler;Accepted;Nicht nachgewiesen;Teil 3;Proposed;Fehler nicht als Ausnahmefluss modellieren.;Vertikaler Referenzschnitt und Qualitaetsgates
ADR-0025;Reale SQLite-Dateien für Migration- und Restoretests;Accepted;Nicht nachgewiesen;Teil 3;Proposed;Keine InMemory-Verfälschung.;Vertikaler Referenzschnitt und Qualitaetsgates
ADR-0026;CI als Mindestanforderung, manuelle Releasefreigabe;Accepted;Nicht nachgewiesen;Teil 3;Proposed;Automatisierte Prüfung mit bewusster Freigabe.;Vertikaler Referenzschnitt und Qualitaetsgates
ADR-0027;Leichtes Main-orientiertes Branchmodell;Accepted;Nicht nachgewiesen;Teil 3;Proposed;Kein komplexes Git-Flow.;Vertikaler Referenzschnitt und Qualitaetsgates
ADR-0028;Installer und Auto-Update bleiben Entscheidungskandidaten;Open;Nicht anwendbar / spaeter;Teil 3;Proposed;PoC und Betriebsbewertung erforderlich.;PoC und Betriebsbewertung erforderlich.
ADR-0029;Keine Telemetrie im MVP;Accepted;Nicht nachgewiesen;Teil 3;Proposed;Offline-first und Datenschutz.;Vertikaler Referenzschnitt und Qualitaetsgates
ADR-0030;Trennung zentraler Fachkonzepte;Accepted;Nicht nachgewiesen;Teil 4;Proposed;Projekt, Produkt, Anforderung, Aufgabe, Meilenstein und Release getrennt.;Vertikaler Referenzschnitt und Qualitaetsgates
