ID;Band;Titel;Mermaid;SVG;PNG
01-dokumentationsstruktur;Master;01 Dokumentationsstruktur;diagrams/mermaid/01-dokumentationsstruktur.mmd;diagrams/svg/01-dokumentationsstruktur.svg;diagrams/png/01-dokumentationsstruktur.png
02-gesamtarchitektur;Master;02 Gesamtarchitektur;diagrams/mermaid/02-gesamtarchitektur.mmd;diagrams/svg/02-gesamtarchitektur.svg;diagrams/png/02-gesamtarchitektur.png
03-abhaengigkeitsregeln;Master;03 Abhaengigkeitsregeln;diagrams/mermaid/03-abhaengigkeitsregeln.mmd;diagrams/svg/03-abhaengigkeitsregeln.svg;diagrams/png/03-abhaengigkeitsregeln.png
04-vertikaler-referenzschnitt;Master;04 Vertikaler Referenzschnitt;diagrams/mermaid/04-vertikaler-referenzschnitt.mmd;diagrams/svg/04-vertikaler-referenzschnitt.svg;diagrams/png/04-vertikaler-referenzschnitt.png
05-daten-und-recoveryfluss;Master;05 Daten Und Recoveryfluss;diagrams/mermaid/05-daten-und-recoveryfluss.mmd;diagrams/svg/05-daten-und-recoveryfluss.svg;diagrams/png/05-daten-und-recoveryfluss.png
06-integrationsgrenzen;Master;06 Integrationsgrenzen;diagrams/mermaid/06-integrationsgrenzen.mmd;diagrams/svg/06-integrationsgrenzen.svg;diagrams/png/06-integrationsgrenzen.png
T01-01-systemkontext;Band 1;01 Systemkontext;volumes/Band-01/diagrams/mermaid/01-systemkontext.mmd;volumes/Band-01/diagrams/svg/01-systemkontext.svg;volumes/Band-01/diagrams/png/01-systemkontext.png
T01-02-vertrauensgrenzen;Band 1;02 Vertrauensgrenzen;volumes/Band-01/diagrams/mermaid/02-vertrauensgrenzen.mmd;volumes/Band-01/diagrams/svg/02-vertrauensgrenzen.svg;volumes/Band-01/diagrams/png/02-vertrauensgrenzen.png
T01-03-hauptbausteine;Band 1;03 Hauptbausteine;volumes/Band-01/diagrams/mermaid/03-hauptbausteine.mmd;volumes/Band-01/diagrams/svg/03-hauptbausteine.svg;volumes/Band-01/diagrams/png/03-hauptbausteine.png
T01-04-abhaengigkeiten;Band 1;04 Abhaengigkeiten;volumes/Band-01/diagrams/mermaid/04-abhaengigkeiten.mmd;volumes/Band-01/diagrams/svg/04-abhaengigkeiten.svg;volumes/Band-01/diagrams/png/04-abhaengigkeiten.png
T01-05-startsequenz;Band 1;05 Startsequenz;volumes/Band-01/diagrams/mermaid/05-startsequenz.mmd;volumes/Band-01/diagrams/svg/05-startsequenz.svg;volumes/Band-01/diagrams/png/05-startsequenz.png
T01-06-qualitaetsprioritaeten;Band 1;06 Qualitaetsprioritaeten;volumes/Band-01/diagrams/mermaid/06-qualitaetsprioritaeten.mmd;volumes/Band-01/diagrams/svg/06-qualitaetsprioritaeten.svg;volumes/Band-01/diagrams/png/06-qualitaetsprioritaeten.png
T01-07-datenfluss-projekt-speichern;Band 1;07 Datenfluss Projekt Speichern;volumes/Band-01/diagrams/mermaid/07-datenfluss-projekt-speichern.mmd;volumes/Band-01/diagrams/svg/07-datenfluss-projekt-speichern.svg;volumes/Band-01/diagrams/png/07-datenfluss-projekt-speichern.png
T01-08-architekturentscheidungen;Band 1;08 Architekturentscheidungen;volumes/Band-01/diagrams/mermaid/08-architekturentscheidungen.mmd;volumes/Band-01/diagrams/svg/08-architekturentscheidungen.svg;volumes/Band-01/diagrams/png/08-architekturentscheidungen.png
T02-01-ui-architektur;Band 2;01 Ui Architektur;volumes/Band-02/diagrams/mermaid/01-ui-architektur.mmd;volumes/Band-02/diagrams/svg/01-ui-architektur.svg;volumes/Band-02/diagrams/png/01-ui-architektur.png
T02-02-domaenenmodell;Band 2;02 Domaenenmodell;volumes/Band-02/diagrams/mermaid/02-domaenenmodell.mmd;volumes/Band-02/diagrams/svg/02-domaenenmodell.svg;volumes/Band-02/diagrams/png/02-domaenenmodell.png
T02-03-persistenzfluss;Band 2;03 Persistenzfluss;volumes/Band-02/diagrams/mermaid/03-persistenzfluss.mmd;volumes/Band-02/diagrams/svg/03-persistenzfluss.svg;volumes/Band-02/diagrams/png/03-persistenzfluss.png
T02-04-migrationsablauf;Band 2;04 Migrationsablauf;volumes/Band-02/diagrams/mermaid/04-migrationsablauf.mmd;volumes/Band-02/diagrams/svg/04-migrationsablauf.svg;volumes/Band-02/diagrams/png/04-migrationsablauf.png
T02-05-import-export;Band 2;05 Import Export;volumes/Band-02/diagrams/mermaid/05-import-export.mmd;volumes/Band-02/diagrams/svg/05-import-export.svg;volumes/Band-02/diagrams/png/05-import-export.png
T02-06-backup-restore;Band 2;06 Backup Restore;volumes/Band-02/diagrams/mermaid/06-backup-restore.mmd;volumes/Band-02/diagrams/svg/06-backup-restore.svg;volumes/Band-02/diagrams/png/06-backup-restore.png
T02-07-fehler-logging;Band 2;07 Fehler Logging;volumes/Band-02/diagrams/mermaid/07-fehler-logging.mmd;volumes/Band-02/diagrams/svg/07-fehler-logging.svg;volumes/Band-02/diagrams/png/07-fehler-logging.png
T02-08-threading-cancellation;Band 2;08 Threading Cancellation;volumes/Band-02/diagrams/mermaid/08-threading-cancellation.mmd;volumes/Band-02/diagrams/svg/08-threading-cancellation.svg;volumes/Band-02/diagrams/png/08-threading-cancellation.png
T03-01-composition-root;Band 3;01 Composition Root;volumes/Band-03/diagrams/mermaid/01-composition-root.mmd;volumes/Band-03/diagrams/svg/01-composition-root.svg;volumes/Band-03/diagrams/png/01-composition-root.png
T03-02-start-shutdown;Band 3;02 Start Shutdown;volumes/Band-03/diagrams/mermaid/02-start-shutdown.mmd;volumes/Band-03/diagrams/svg/02-start-shutdown.svg;volumes/Band-03/diagrams/png/02-start-shutdown.png
T03-03-usecase-save-project;Band 3;03 Usecase Save Project;volumes/Band-03/diagrams/mermaid/03-usecase-save-project.mmd;volumes/Band-03/diagrams/svg/03-usecase-save-project.svg;volumes/Band-03/diagrams/png/03-usecase-save-project.png
T03-04-background-operation;Band 3;04 Background Operation;volumes/Band-03/diagrams/mermaid/04-background-operation.mmd;volumes/Band-03/diagrams/svg/04-background-operation.svg;volumes/Band-03/diagrams/png/04-background-operation.png
T03-05-testpyramide;Band 3;05 Testpyramide;volumes/Band-03/diagrams/mermaid/05-testpyramide.mmd;volumes/Band-03/diagrams/svg/05-testpyramide.svg;volumes/Band-03/diagrams/png/05-testpyramide.png
T03-06-build-pipeline;Band 3;06 Build Pipeline;volumes/Band-03/diagrams/mermaid/06-build-pipeline.mmd;volumes/Band-03/diagrams/svg/06-build-pipeline.svg;volumes/Band-03/diagrams/png/06-build-pipeline.png
T03-07-release-update;Band 3;07 Release Update;volumes/Band-03/diagrams/mermaid/07-release-update.mmd;volumes/Band-03/diagrams/svg/07-release-update.svg;volumes/Band-03/diagrams/png/07-release-update.png
T03-08-traceability-flow;Band 3;08 Traceability Flow;volumes/Band-03/diagrams/mermaid/08-traceability-flow.mmd;volumes/Band-03/diagrams/svg/08-traceability-flow.svg;volumes/Band-03/diagrams/png/08-traceability-flow.png
T04-01-fachliche-landkarte;Band 4;01 Fachliche Landkarte;volumes/Band-04/diagrams/mermaid/01-fachliche-landkarte.mmd;volumes/Band-04/diagrams/svg/01-fachliche-landkarte.svg;volumes/Band-04/diagrams/png/01-fachliche-landkarte.png
T04-02-aggregatgrenzen;Band 4;02 Aggregatgrenzen;volumes/Band-04/diagrams/mermaid/02-aggregatgrenzen.mmd;volumes/Band-04/diagrams/svg/02-aggregatgrenzen.svg;volumes/Band-04/diagrams/png/02-aggregatgrenzen.png
